storyName,intentName,apiTrigger,labeledSentences,speechResponse,parameters
What are some of the longer retention policies,faq_intent,FALSE,What are some of the longer retention policies,Longer retention schedules are applied for Engineering and Cisco Services documents. Engineering is 25 years.  Cisco Services can vary but is 15 - 25 years.  If you place new documents into any of these folders they will inherit the folders retention policy.,
What kind of content we can declare as records,faq_intent,FALSE,What kind of content we can declare as records,"Contracts, contract amendments,Personnel files, payroll records,Tax returns, backup documentation,Invoices, general ledger, budgets,Database data and reports,Web pages of policies, procedures,Project documentation,Software source code, patents,Customer files,Product documentation, Quality workflows,Emails containing mutual agreements",
Examples of Records,faq_intent,FALSE,Examples of Records,"Contracts, contract amendments,Personnel files, payroll records,Tax returns, backup documentation,Invoices, general ledger, budgets,Database data and reports,Web pages of policies, procedures,Project documentation,Software source code, patents,Customer files,Product documentation, Quality workflows,Emails containing mutual agreements",
What is Records Management in Doc Central,faq_intent,FALSE,What is Records Management in Doc Central,"An organized, pro-active approach to records management helps assure we don’t fall victim to the pitfalls that companies can face when they don’t invest in their records management & governance controls. These pitfalls include issues such as problems with audits (Tax, ISO,S-OX,etc) or legal discovery.
Since there are multiple Digital Platforms at Cisco, Doc Central has been identified as the only approved repository for long term storage of critical Cisco information. Doc Central has automated features to ensure content is kept and deleted according to Cisco’s Records Retention Schedule, so that it meets legal and regulatory requirements.",
RETENTION SCHEDULES,faq_intent,FALSE,RETENTION SCHEDULES,"The Enterprise Records Retention Schedule (ERRS) is a comprehensive list of record categories, indicating the length of time a record is to be retained.",
ERIM Policies and Process,faq_intent,FALSE,ERIM Policies and Process,"Please click on the below link for detailed information on ERIM Policies and Process : 
https://cisco.jiveon.com/groups/enterprise-records-and-information-management-erim/projects/policy-process",
Who is responsible for Records Management in Doc Central,faq_intent,FALSE,Who is responsible for Records Management in Doc Central,"All Cisco employees and contractors are responsible to ensure their records meet the legal and regulatory compliance requirements which are part of the Records Management Policy 
Each team should identify specific individuals as Business Retention Managers for their team folders. These individuals will be able to create and manage records management rules and mark folders as records. This ensures that there is consistency among rules that are being created and an oversight among the team on what content is being marked as records.
To get started as a Business Retention Manager, email  doc_central_biz_retention_manager@cisco.com and you will receive a short training video. Once you confirm you have reviewed the video, you will be added as a Business Retention Manager.",
Why is Cisco doing Purge,faq_intent,FALSE,Why is Cisco doing Purge,To comply with Cisco policy as well as manage the growth of Doc Central by removing documents that no longer have business value and are not required to be retained for legal or regulatory purpose per the Records Management Policy and the Electronic Information Disposition Policy.,
Do I need Records Management on my information,faq_intent,FALSE,Do I need Records Management on my information,"Records Management plays an important role in keeping your team’s content compliant with policy, relevant, up to date and easy to find. However, not all information qualifies as records. Please review What is a Record to identify which folders in your organization should be managed as records.",
What does retention mean,faq_intent,FALSE,What does retention mean,"Retention means there is a responsibility to ensure that the information is not deleted until the required time period is met. The time period to retain information is dictated by Cisco's Enterprise Records and Retention Schedule. In Doc Central, retention is applied by the Records Management functionality using Cisco's Enterprise Records and Retention Schedule.",
How can I understand what are my organization's records under Cisco's policy,faq_intent,FALSE,How can I understand what are my organization's records under Cisco's policy,Please review What is a Record to identify which content in your organization should be managed as records.,
How Records Management works in Doc Central,faq_intent,FALSE,How Records Management works in Doc Central,"Records Management works at a folder level in Doc Central to identify and keep important business documents for the required amount of time. We have simplified the process by which your team can identify applicable information categories (such as Finance, Marketing, Engineering,etc.) at a folder level and the system will ensure the documents are retained and deleted according to policy.",
 How do I implement Records Management in my folders ,faq_intent,FALSE, How do I implement Records Management in my folders ,"Doc Central has an intuitive rules based approach to mark your folders as records. As a Business Retention Manager for your team, you will be able to create simple records management rules on one or more of your team folders in Doc Central.
When you create a rule, you will use a drop down menu to choose a applicable 'Records Category'. Once this rule is created and saved, any document or folder created under this folder will automatically become a record and will be retained for the appropriate time period.",
How do I become a Business Retention Manager,faq_intent,FALSE,How do I become a Business Retention Manager,"Only specific individuals within a business unit can create and manage records management rules and mark folders as records. This ensures that there is consistency among rules that are being created and an oversight among the team on what content is being marked as records.
 In order to determine who will become the Business Retention Manager for your folder(s), please consult with others (team members, cross-functional partners) who have an interest in the documents.
 To get started as a Business Retention Manager, email  doc_central_biz_retention_manager@cisco.com and you will receive a short training video. Once you confirm you have reviewed the video, you will be added as a Business Retention Manager.",
"I am in Engineering, Services or Supply Chain. Do I have to apply retention to my content",faq_intent,FALSE,"I am in Engineering, Services or Supply Chain. Do I have to apply retention to my content","All documents stored under the Engineering, Services and Supply Chain folders will automatically be retained according to Cisco Quality/ISO guidelines and the retention schedule. Users will not be able to apply additional retention rules on these folders (either longer or shorter). Documents will not be able to be deleted from these folders. However, new versions can be added on documents that are under retention.",
"What do I need to know about records management for documents that have been migrated into Doc Central from other repositories (e.g EDCS, Jive, WebEx Social, Web Services, Shared Drive, etc)",faq_intent,FALSE,"What do I need to know about records management for documents that have been migrated into Doc Central from other repositories (e.g EDCS, Jive, WebEx Social, Web Services, Shared Drive, etc)","The records management process for documents migrated into Doc Central is the same as for content created in Doc Central- users need to mark their folders as records. The only exception would be for Engineering, Supply Chain and Services documents migrated from EDCS - these documents will automatically be retained in Doc Central according to the retention schedule.",
Will retention apply to versions,faq_intent,FALSE,Will retention apply to versions,"Yes, when retention is applied at the folder level, then it will cascade to all versions.",
Will I be able to move my records once retention is applied,faq_intent,FALSE,Will I be able to move my records once retention is applied,"Yes, you will be able to move to documents which have records retention applied to it",
What if I mistakenly apply retention and need to remove it,faq_intent,FALSE,What if I mistakenly apply retention and need to remove it,"Currently, the system does not have the capability to remove or undo a retention policy applied to a document. Please contact the ERIM team to get assistance on available options/workarounds to address the issue.",
How can I tell if my record is under Retention,faq_intent,FALSE,How can I tell if my record is under Retention,"Records under retention will have ""Lock & Clock""  icon displayed to the left of documents.",
