Question,Answer,BotId
Jenkins Multi-Master ,"Jenkins(ci.cisco.com) is been split into five robust masters. All the existing jobs are going to be distributed across five Jenkins masters.
Please visit this URL for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Jenkins_MultiMaster
 
",5b3470df8982d029e48a4c0d
what is JMM,"Jenkins(ci.cisco.com) is been split into five robust masters. All the existing jobs are going to be distributed across five Jenkins masters.
Please visit this URL for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Jenkins_MultiMaster
 
",5b3470df8982d029e48a4c0d
Bnefits of Jenkins Multi Master,"    Architected to scale for horizontal growth
•     Shorter Job queue waits
•     Improved UI performance
•     Better job distribution
Please visit this URL for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Jenkins_MultiMaster",5b3470df8982d029e48a4c0d
benefits of JMM,"    Architected to scale for horizontal growth
•     Shorter Job queue waits
•     Improved UI performance
•     Better job distribution
Please visit this URL for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Jenkins_MultiMaster",5b3470df8982d029e48a4c0d
What is going to change due to JMM,"   Jenkins environment url will change. However, this change should be seamless for you as url redirection will be enabled to point to the new Jenkins environment.
•    All the existing jobs will be migrated to the new environment.
•    New jobs after cutover date will be automatically created in the new environment
•    Current ci.cisco.com will be kept down.
Please visit this URL for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Jenkins_MultiMaster
",5b3470df8982d029e48a4c0d
What is going to change due to Jenkins Multi Master,"   Jenkins environment url will change. However, this change should be seamless for you as url redirection will be enabled to point to the new Jenkins environment.
•    All the existing jobs will be migrated to the new environment.
•    New jobs after cutover date will be automatically created in the new environment
•    Current ci.cisco.com will be kept down.
Please visit this URL for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Jenkins_MultiMaster
",5b3470df8982d029e48a4c0d
How to enable access to Jenkins?,"Access to Jenkins is provisioned on Project level, so when you are requesting for Jenkins access, make sure you have a working project available in Jenkins before you request for the access. If you are acting Admin to that project, you can provide access to your team-mates following below steps:
1.Go to your Jenkins project
2.Click on Groups option on left hand side column of the page
3.Click on the required available group options (You will have groups for Admin, Developers, QA Testers etc)
4.Add User/Group (AD Groups) to the list and save
",5b3470df8982d029e48a4c0d
How to Get access to jenkins,"Access to Jenkins is provisioned on Project level, so when you are requesting for Jenkins access, make sure you have a working project available in Jenkins before you request for the access. If you are acting Admin to that project, you can provide access to your team-mates following below steps:
1.Go to your Jenkins project
2.Click on Groups option on left hand side column of the page
3.Click on the required available group options (You will have groups for Admin, Developers, QA Testers etc)
4.Add User/Group (AD Groups) to the list and save
",5b3470df8982d029e48a4c0d
Access to Jenkins,"Access to Jenkins is provisioned on Project level, so when you are requesting for Jenkins access, make sure you have a working project available in Jenkins before you request for the access. If you are acting Admin to that project, you can provide access to your team-mates following below steps:
1.Go to your Jenkins project
2.Click on Groups option on left hand side column of the page
3.Click on the required available group options (You will have groups for Admin, Developers, QA Testers etc)
4.Add User/Group (AD Groups) to the list and save
",5b3470df8982d029e48a4c0d
Jenkins Access,"Access to Jenkins is provisioned on Project level, so when you are requesting for Jenkins access, make sure you have a working project available in Jenkins before you request for the access. If you are acting Admin to that project, you can provide access to your team-mates following below steps:
1.Go to your Jenkins project
2.Click on Groups option on left hand side column of the page
3.Click on the required available group options (You will have groups for Admin, Developers, QA Testers etc)
4.Add User/Group (AD Groups) to the list and save
",5b3470df8982d029e48a4c0d
Permission to Jenkins,"Access to Jenkins is provisioned on Project level, so when you are requesting for Jenkins access, make sure you have a working project available in Jenkins before you request for the access. If you are acting Admin to that project, you can provide access to your team-mates following below steps:
1.Go to your Jenkins project
2.Click on Groups option on left hand side column of the page
3.Click on the required available group options (You will have groups for Admin, Developers, QA Testers etc)
4.Add User/Group (AD Groups) to the list and save
",5b3470df8982d029e48a4c0d
Jenkins Permission,"Access to Jenkins is provisioned on Project level, so when you are requesting for Jenkins access, make sure you have a working project available in Jenkins before you request for the access. If you are acting Admin to that project, you can provide access to your team-mates following below steps:
1.Go to your Jenkins project
2.Click on Groups option on left hand side column of the page
3.Click on the required available group options (You will have groups for Admin, Developers, QA Testers etc)
4.Add User/Group (AD Groups) to the list and save
",5b3470df8982d029e48a4c0d
Jenkins Enablement,"Access to Jenkins is provisioned on Project level, so when you are requesting for Jenkins access, make sure you have a working project available in Jenkins before you request for the access. If you are acting Admin to that project, you can provide access to your team-mates following below steps:
1.Go to your Jenkins project
2.Click on Groups option on left hand side column of the page
3.Click on the required available group options (You will have groups for Admin, Developers, QA Testers etc)
4.Add User/Group (AD Groups) to the list and save
",5b3470df8982d029e48a4c0d
How to create new Projects in Jenkins?,Please refer this document https://cisco.jiveon.com/docs/DOC-1587954,5b3470df8982d029e48a4c0d
Creation of new Projects in Jenkins,Please refer this document https://cisco.jiveon.com/docs/DOC-1587954,5b3470df8982d029e48a4c0d
Create new Projects in Jenkins,Please refer this document https://cisco.jiveon.com/docs/DOC-1587954,5b3470df8982d029e48a4c0d
Creating a project in Jenkins,Please refer this document https://cisco.jiveon.com/docs/DOC-1587954,5b3470df8982d029e48a4c0d
New Project creation in jenkins,Please refer this document https://cisco.jiveon.com/docs/DOC-1587954,5b3470df8982d029e48a4c0d
Proj creation in jenkins,Please refer this document https://cisco.jiveon.com/docs/DOC-1587954,5b3470df8982d029e48a4c0d
How do I get new plugin installed in jenkins,"Best approach will be to open a case in srm.cisco.com in Service Now under ""Software Development Automation"", and provide the necessary details as below:
--> Why you need it
--> What's the advantage of having this in your project
--> It's criticality
Once the case is submitted  support team will revert with  updates on the same.",5b3470df8982d029e48a4c0d
How to install new plugin in jenkins,"Best approach will be to open a case in srm.cisco.com in Service Now under ""Software Development Automation"", and provide the necessary details as below:
--> Why you need it
--> What's the advantage of having this in your project
--> It's criticality
Once the case is submitted  support team will revert with  updates on the same.",5b3470df8982d029e48a4c0d
Installation of plugin in jenkins,"Best approach will be to open a case in srm.cisco.com in Service Now under ""Software Development Automation"", and provide the necessary details as below:
--> Why you need it
--> What's the advantage of having this in your project
--> It's criticality
Once the case is submitted  support team will revert with  updates on the same.",5b3470df8982d029e48a4c0d
plugin installation in jenkins,"Best approach will be to open a case in srm.cisco.com in Service Now under ""Software Development Automation"", and provide the necessary details as below:
--> Why you need it
--> What's the advantage of having this in your project
--> It's criticality
Once the case is submitted  support team will revert with  updates on the same.",5b3470df8982d029e48a4c0d
In jenkins how to install new plugin?,"Best approach will be to open a case in srm.cisco.com in Service Now under ""Software Development Automation"", and provide the necessary details as below:
--> Why you need it
--> What's the advantage of having this in your project
--> It's criticality
Once the case is submitted  support team will revert with  updates on the same.",5b3470df8982d029e48a4c0d
Install plugin in jenkins,"Best approach will be to open a case in srm.cisco.com in Service Now under ""Software Development Automation"", and provide the necessary details as below:
--> Why you need it
--> What's the advantage of having this in your project
--> It's criticality
Once the case is submitted  support team will revert with  updates on the same.",5b3470df8982d029e48a4c0d
Build is failing due to 3rd party libraries missing in repository,Need to upload the respective jars in to artifactory and add the respective details(artifactory id and version number in pom.xml).Please find link:https://cisco.jiveon.com/docs/DOC-45943,5b3470df8982d029e48a4c0d
Build is failing due to third party libraries missing in repository,Need to upload the respective jars in to artifactory and add the respective details(artifactory id and version number in pom.xml).Please find link:https://cisco.jiveon.com/docs/DOC-45943,5b3470df8982d029e48a4c0d
How to get third party libraries ,Need to upload the respective jars in to artifactory and add the respective details(artifactory id and version number in pom.xml).Please find link:https://cisco.jiveon.com/docs/DOC-45943,5b3470df8982d029e48a4c0d
How to manage third party libraries missing in repository,Need to upload the respective jars in to artifactory and add the respective details(artifactory id and version number in pom.xml).Please find link:https://cisco.jiveon.com/docs/DOC-45943,5b3470df8982d029e48a4c0d
Third party libraries missing in repository,Need to upload the respective jars in to artifactory and add the respective details(artifactory id and version number in pom.xml).Please find link:https://cisco.jiveon.com/docs/DOC-45943,5b3470df8982d029e48a4c0d
What are the steps to create tar.gz file as part of build.,"Resolution:

Step 1 : Add maven-assembly-plugin in pom.xml file as below

<plugin>

         <groupId>org.apache.maven.plugins</groupId>

         <artifactId>maven-assembly-plugin</artifactId>

         <version>2.4</version>

         <executions>

                 <execution>

                         <phase>package</phase>

                         <goals>

                                 <goal>single</goal>

                         </goals>

                 </execution>

         </executions>

         <configuration>

                 <appendAssemblyId>false</appendAssemblyId>

                 <descriptors>

                         <descriptor>assembly.xml</descriptor>

                 </descriptors>

         </configuration>

  </plugin>

 

 

Step 2 : Create or need to have assembly.xml file, Below is the content of assembly.xml file.

<?xml version=""1.0""?>

     <assembly>

          <id>${project.version}</id>

          <formats>

               <format>tar.gz</format>

          </formats>

          <files>

            <file>

                 <source>pom.xml</source>

                 <outputDirectory>/package</outputDirectory>

            </file>

          </files>

         <includeBaseDirectory>false</includeBaseDirectory>

          <fileSets>

                  <fileSet>

                      <directory>${project.build.directory}/../package</directory>

                      <outputDirectory>/</outputDirectory>

                   </fileSet>

          </fileSets>

     </assembly>",5b3470df8982d029e48a4c0d
Steps to create tar.gz file ,"Resolution:

Step 1 : Add maven-assembly-plugin in pom.xml file as below

<plugin>

         <groupId>org.apache.maven.plugins</groupId>

         <artifactId>maven-assembly-plugin</artifactId>

         <version>2.4</version>

         <executions>

                 <execution>

                         <phase>package</phase>

                         <goals>

                                 <goal>single</goal>

                         </goals>

                 </execution>

         </executions>

         <configuration>

                 <appendAssemblyId>false</appendAssemblyId>

                 <descriptors>

                         <descriptor>assembly.xml</descriptor>

                 </descriptors>

         </configuration>

  </plugin>

 

 

Step 2 : Create or need to have assembly.xml file, Below is the content of assembly.xml file.

<?xml version=""1.0""?>

     <assembly>

          <id>${project.version}</id>

          <formats>

               <format>tar.gz</format>

          </formats>

          <files>

            <file>

                 <source>pom.xml</source>

                 <outputDirectory>/package</outputDirectory>

            </file>

          </files>

         <includeBaseDirectory>false</includeBaseDirectory>

          <fileSets>

                  <fileSet>

                      <directory>${project.build.directory}/../package</directory>

                      <outputDirectory>/</outputDirectory>

                   </fileSet>

          </fileSets>

     </assembly>",5b3470df8982d029e48a4c0d
