Question,Answer
Jenkins Multi-Master ,"Jenkins(ci.cisco.com) is been split into five robust masters. All the existing jobs are going to be distributed across five Jenkins masters.
Please visit this URL for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Jenkins_MultiMaster
 
"
what is JMM,"Jenkins(ci.cisco.com) is been split into five robust masters. All the existing jobs are going to be distributed across five Jenkins masters.
Please visit this URL for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Jenkins_MultiMaster
 
"
Bnefits of Jenkins Multi Master,"    Architected to scale for horizontal growth
•     Shorter Job queue waits
•     Improved UI performance
•     Better job distribution
Please visit this URL for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Jenkins_MultiMaster"
benefits of JMM,"    Architected to scale for horizontal growth
•     Shorter Job queue waits
•     Improved UI performance
•     Better job distribution
Please visit this URL for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Jenkins_MultiMaster"
What is going to change due to JMM,"   Jenkins environment url will change. However, this change should be seamless for you as url redirection will be enabled to point to the new Jenkins environment.
•    All the existing jobs will be migrated to the new environment.
•    New jobs after cutover date will be automatically created in the new environment
•    Current ci.cisco.com will be kept down.
Please visit this URL for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Jenkins_MultiMaster
"
What is going to change due to Jenkins Multi Master,"   Jenkins environment url will change. However, this change should be seamless for you as url redirection will be enabled to point to the new Jenkins environment.
•    All the existing jobs will be migrated to the new environment.
•    New jobs after cutover date will be automatically created in the new environment
•    Current ci.cisco.com will be kept down.
Please visit this URL for more details.
https://cisco.jiveon.com/docs/DOC-1734053#jive_content_id_Jenkins_MultiMaster
"
How to enable access to Jenkins?,"Access to Jenkins is provisioned on Project level, so when you are requesting for Jenkins access, make sure you have a working project available in Jenkins before you request for the access. If you are acting Admin to that project, you can provide access to your team-mates following below steps:
1.Go to your Jenkins project
2.Click on Groups option on left hand side column of the page
3.Click on the required available group options (You will have groups for Admin, Developers, QA Testers etc)
4.Add User/Group (AD Groups) to the list and save
"
How to Get access to jenkins,"Access to Jenkins is provisioned on Project level, so when you are requesting for Jenkins access, make sure you have a working project available in Jenkins before you request for the access. If you are acting Admin to that project, you can provide access to your team-mates following below steps:
1.Go to your Jenkins project
2.Click on Groups option on left hand side column of the page
3.Click on the required available group options (You will have groups for Admin, Developers, QA Testers etc)
4.Add User/Group (AD Groups) to the list and save
"
Access to Jenkins,"Access to Jenkins is provisioned on Project level, so when you are requesting for Jenkins access, make sure you have a working project available in Jenkins before you request for the access. If you are acting Admin to that project, you can provide access to your team-mates following below steps:
1.Go to your Jenkins project
2.Click on Groups option on left hand side column of the page
3.Click on the required available group options (You will have groups for Admin, Developers, QA Testers etc)
4.Add User/Group (AD Groups) to the list and save
"
Jenkins Access,"Access to Jenkins is provisioned on Project level, so when you are requesting for Jenkins access, make sure you have a working project available in Jenkins before you request for the access. If you are acting Admin to that project, you can provide access to your team-mates following below steps:
1.Go to your Jenkins project
2.Click on Groups option on left hand side column of the page
3.Click on the required available group options (You will have groups for Admin, Developers, QA Testers etc)
4.Add User/Group (AD Groups) to the list and save
"
Permission to Jenkins,"Access to Jenkins is provisioned on Project level, so when you are requesting for Jenkins access, make sure you have a working project available in Jenkins before you request for the access. If you are acting Admin to that project, you can provide access to your team-mates following below steps:
1.Go to your Jenkins project
2.Click on Groups option on left hand side column of the page
3.Click on the required available group options (You will have groups for Admin, Developers, QA Testers etc)
4.Add User/Group (AD Groups) to the list and save
"
Jenkins Permission,"Access to Jenkins is provisioned on Project level, so when you are requesting for Jenkins access, make sure you have a working project available in Jenkins before you request for the access. If you are acting Admin to that project, you can provide access to your team-mates following below steps:
1.Go to your Jenkins project
2.Click on Groups option on left hand side column of the page
3.Click on the required available group options (You will have groups for Admin, Developers, QA Testers etc)
4.Add User/Group (AD Groups) to the list and save
"
Jenkins Enablement,"Access to Jenkins is provisioned on Project level, so when you are requesting for Jenkins access, make sure you have a working project available in Jenkins before you request for the access. If you are acting Admin to that project, you can provide access to your team-mates following below steps:
1.Go to your Jenkins project
2.Click on Groups option on left hand side column of the page
3.Click on the required available group options (You will have groups for Admin, Developers, QA Testers etc)
4.Add User/Group (AD Groups) to the list and save
"
How to create new Projects in Jenkins?,Please refer this document https://cisco.jiveon.com/docs/DOC-1587954
Creation of new Projects in Jenkins,Please refer this document https://cisco.jiveon.com/docs/DOC-1587954
Create new Projects in Jenkins,Please refer this document https://cisco.jiveon.com/docs/DOC-1587954
Creating a project in Jenkins,Please refer this document https://cisco.jiveon.com/docs/DOC-1587954
New Project creation in jenkins,Please refer this document https://cisco.jiveon.com/docs/DOC-1587954
Proj creation in jenkins,Please refer this document https://cisco.jiveon.com/docs/DOC-1587954
How do I get new plugin installed in jenkins,"Best approach will be to open a case in srm.cisco.com in Service Now under ""Software Development Automation"", and provide the necessary details as below:
--> Why you need it
--> What's the advantage of having this in your project
--> It's criticality
Once the case is submitted  support team will revert with  updates on the same."
